bibliografia_titulo;paginas;pergunta;afirmacao;resposta_correta;justificativa_resposta_certa;caiu_em_prova;ano_prova
tabela_ri.md;5;Solução Kantiana para a Paz;Immanuel Kant propôs uma **federação de Estados** (repúblicas) baseada no Estado de Direito como meio de conquistar a paz internacional.;true;A solução de Kant para a paz internacional é uma federação de repúblicas baseada no Estado de Direito, em oposição a um "superleviatã".;true;2024
tabela_ri.md;5;Solução Kantiana para a Paz;Immanuel Kant propôs a criação de um **"superleviatã"** global, detentor de poder absoluto, como meio de conquistar a paz internacional.;false;Kant propôs uma federação de Estados, opondo-se explicitamente à ideia de um poder centralizado como um "superleviatã".;true;2024
tabela_ri.md;5;Behaviorismo em RI;O behaviorismo busca um estudo mais científico em Relações Internacionais, pressupondo que indivíduos e grupos agem de maneira **padronizada e previsível**.;true;O behaviorismo aplica o método científico sob a premissa de que o comportamento de atores em RI é padronizado e previsível.;true;2024
tabela_ri.md;5;Behaviorismo em RI;O behaviorismo, no estudo das Relações Internacionais, busca **desconstruir conceitos** como soberania e encontrar as vozes dos "Outros" marginalizados.;false;O behaviorismo foca no método científico e previsibilidade, enquanto a desconstrução de conceitos é característica do pós-modernismo.;true;2024
tabela_ri.md;5;Conceito de Realismo;O Realismo postula que os Estados existem em um sistema internacional **anárquico** e baseiam suas políticas no interesse nacional definido em termos de poder.;true;O Realismo se fundamenta na anarquia do sistema internacional e na busca pelo interesse nacional em termos de poder.;true;2024
tabela_ri.md;5;Conceito de Realismo;O Liberalismo postula que os Estados existem em um sistema internacional **anárquico** e baseiam suas políticas no interesse nacional definido em termos de poder.;false;Embora o Liberalismo reconheça a anarquia, é o Realismo que define o interesse nacional baseado em poder como o foco principal das políticas estatais.;true;2024
tabela_ri.md;5;Conceito de Liberalismo;O Liberalismo se origina de tradições filosóficas que postulam que a **natureza humana é essencialmente boa** e que os Estados geralmente cooperam.;true;A origem filosófica liberal é baseada na crença na bondade da natureza humana e na possibilidade de cooperação.;true;2024
tabela_ri.md;5;Conceito de Liberalismo;A teoria Radical se origina de tradições filosóficas que postulam que a **natureza humana é essencialmente boa** e que os Estados geralmente cooperam.;false;A teoria Radical foca na determinação dos atos dos indivíduos pela **Classe econômica** à qual pertencem, e não na bondade essencial da natureza humana.;true;2024
tabela_ri.md;5;Conceito de Construtivismo;O Construtivismo argumenta que as estruturas fundamentais do sistema estatal são de caráter **intersubjetivo e social**, e não material.;true;Os construtivistas defendem que as estruturas são intersubjetivas e sociais, e que os interesses dos Estados são maleáveis.;true;2024
tabela_ri.md;5;Conceito de Construtivismo;O Realismo argumenta que as estruturas fundamentais do sistema estatal são de caráter **intersubjetivo e social**, com interesses estatais maleáveis.;false;O Realismo foca em estruturas materiais (como distribuição de poder), enquanto a ênfase no caráter intersubjetivo e social é do Construtivismo.;true;2024
tabela_ri.md;5;Tratados de Vestfália;Os Tratados de Vestfália (1648) são um marco para as relações internacionais contemporâneas por estabelecerem a **soberania do Estado** e o princípio de **não ingerência** nos assuntos internos.;true;Os Tratados de Vestfália são cruciais por terem estabelecido os conceitos de soberania do Estado e o princípio de não ingerência, fundamentais para o sistema moderno.;true;2024
tabela_ri.md;5;Tratados de Vestfália;Os Tratados de Vestfália (1648) são um marco por terem criado a **primeira organização intergovernamental** para mediar conflitos entre Estados soberanos.;false;Os Tratados estabeleceram os princípios de soberania e não ingerência, mas não criaram a primeira Organização Intergovernamental (OIG).;true;2024
tabela_ri.md;5;Poder Brando (Soft Power);O **"poder brando" (soft power)** é a capacidade de atrair os outros por meio da legitimidade dos valores ou políticas de um Estado, em vez de usar coerção.;true;O poder brando é uma ferramenta de influência baseada em atração e persuasão, conforme definido por Joseph S. Nye.;true;2024
tabela_ri.md;5;Poder Brando (Soft Power);O **"poder inteligente" (smart power)** é a capacidade de atrair os outros por meio da legitimidade dos valores ou políticas de um Estado, em vez de usar coerção.;false;A capacidade de atrair sem coerção é a definição de "poder brando" (*soft power*), enquanto o "poder inteligente" (*smart power*) é a combinação do poder brando com o poder duro.;true;2024
