bibliografia_titulo	paginas	assunto	afirmacao_verdadeira	afirmacao_falsa	resposta_correta	justificativa_resposta_certa	caiu_em_prova	ano_prova
Bibliografia 1 – Raízes		Evolução dos Estudos Geopolíticos	A reflexão normativa sobre a relação política-geografia possibilitou o surgimento, em ordem cronológica, da Geografia Humana (ou Antropogeografia), Geografia Política e, finalmente, a Geopolítica.	O surgimento dos campos de estudo ocorreu na ordem: Geopolítica, Geografia Política e, por último, Geografia Humana.	true	A reflexão normativa possibilitou o surgimento sucessivo da Geografia Humana (ou Antropogeografia), da Geografia Política e, finalmente, da Geopolítica.		
Bibliografia 1 – Raízes		Escola Determinista (Autores)	Os principais autores da Escola Determinista são Ratzel, Kjellen, Haushofer, Mahan e Mackynder, que defendem a preponderância do fator geográfico.	Os principais autores da Escola Determinista são La Blanche, Brunhes e Vallaux, que defendem a preponderância do fator político.	true	Os autores da Escola Determinista defendem a preponderância do fator geográfico e incluem Ratzel, Kjellen, Haushofer, Mahan, Mackynder.		
Bibliografia 1 – Raízes		Escola Possibilista (Conceito)	A Escola Possibilista, defendida por La Blanche, Brunhes e Vallaux, considera o fator político preponderante, cabendo ao homem escolher seu destino dentro das possibilidades do ambiente físico.	A Escola Possibilista considerava o fator geográfico determinante no processo civilizatório, sendo Mahan e Mackinder seus principais expoentes.	true	A escola possibilista considera o fator geográfico menos ponderável que o fator político e tem como autores La Blanche, Brunhes e Vallaux.		
Bibliografia 1 – Raízes		Ratzel e Geopolítica	Friedrich Ratzel foi o autor dos livros "Antropogeografia" e "Geografia Política", obras fundamentais para o surgimento da Geopolítica.	Rudolf Kjellen foi o autor dos livros "Antropogeografia" e "Geografia Política".	true	Friedrich Ratzel publicou os livros "Antropogeografia e Geografia Política".		
Bibliografia 1 – Raízes		Obra Pioneira da Geopolítica	Rudolf Kjellen é considerado o autor da obra pioneira "Geopolítica", que fez a transição da Geografia Política estática para um cenário dinâmico e prospectivo.	Friedrich Ratzel é considerado o autor da obra pioneira "Geopolítica", que fez a transição para um cenário dinâmico.	true	Rudolf Kjellen publicou a obra pioneira "Geopolítica", fazendo a transição para um cenário dinâmico e prospectivo.		
Bibliografia 1 – Raízes		Comparação Ratzel (Geografia Política vs Geopolítica)	Segundo a comparação de Ratzel, a Geografia Política era como a fotografia, enquanto a Geopolítica era a cinematografia.	Segundo Ratzel, a Geopolítica era como a fotografia, por ser estática, enquanto a Geografia Política era a cinematografia, por ser dinâmica.	true	Ratzel comparou a Geografia Política à fotografia (estática) e a Geopolítica à cinematografia (dinâmica).		
Bibliografia 1 – Raízes		Interação Dinâmica da Geopolítica	A Geopolítica é o produto da interação dinâmica de três fatores: Política, Geografia e História.	A Geopolítica é o produto da interação dinâmica de quatro fatores: Cultura, Economia, Geografia e Política.	true	A Geopolítica é o produto da interação dinâmica dos três fatores: Política, Geografia e História.		
Bibliografia 1 – Raízes		Sete Leis de Ratzel	Friedrich Ratzel lançou as famosas "Sete Leis do Expansionismo" em seu livro "Leis do Crescimento Territorial dos Estados".	Friedrich Ratzel lançou as famosas "Sete Leis do Expansionismo" em seu livro "Antropogeografia".	true	Ratzel lançou as "Sete Leis do Expansionismo" no seu livro "Leis do Crescimento Territorial dos Estados".		
Bibliografia 1 – Raízes		Fato Histórico	O fato histórico está sempre relacionado a dois fatores: ‘espaço’ e ‘tempo’.	O fato histórico está sempre relacionado a dois fatores: 'cultura' e 'expansão'.	true	O fato histórico está sempre relacionado aos fatores 'espaço' e 'tempo'.		
Bibliografia 1 – Raízes		Primeira Lei de Ratzel	A primeira das "Sete Leis do Expansionismo" de Ratzel afirma que o espaço dos Estados deve crescer com a sua cultura.	A primeira lei de Ratzel afirma que o crescimento do Estado manifesta-se pela adição de novos estados, dentro do processo de amalgação.	true	A primeira lei de Ratzel é que o espaço dos Estados deve crescer com a sua cultura.		
Bibliografia 1 – Raízes		Terceira Lei de Ratzel	De acordo com a terceira lei do expansionismo de Ratzel, o crescimento do Estado manifesta-se pela adição de novos estados dentro do processo de amalgação.	De acordo com a terceira lei de Ratzel, o crescimento do Estado manifesta-se pela adição de novos estados através de um processo de isolamento territorial.	true	A terceira lei de Ratzel trata do crescimento do Estado pela adição de novos estados dentro do processo de amalgação.		
Bibliografia 1 – Raízes		Fronteira (Ratzel)	Para Ratzel, a fronteira é o órgão periférico do Estado e prova do seu crescimento, força e mudanças, evidenciando a vitalidade dos Estados.	Para Ratzel, a capital é o órgão periférico do Estado e prova do seu crescimento e força.	true	Ratzel define a fronteira como o órgão periférico do Estado e prova do seu crescimento, força e mudanças.		
Bibliografia 1 – Raízes		Quinta Lei de Ratzel	Conforme a quinta lei de Ratzel, o Estado, em seu crescimento, luta pela absorção de áreas politicamente e estrategicamente valiosas, como litorais, planícies e regiões ricas em recursos.	Conforme a quinta lei de Ratzel, o Estado luta, prioritariamente, pela absorção de áreas remotas e de difícil acesso geográfico para garantir a defesa.	true	A quinta lei de Ratzel indica que o Estado luta pela absorção de áreas politicamente e estrategicamente valiosas.		
Bibliografia 1 – Raízes		Escola Alemã (Determinista)	A escola de pensamento alemã que considerava o fator geográfico preponderante na interação homem-geografia era chamada de Escola "determinista".	A escola de pensamento alemã que considerava o fator político preponderante na interação homem-geografia era chamada de Escola "possibilista".	true	A escola alemã era chamada de "determinista" por considerar o fator geográfico preponderante.		
Bibliografia 1 – Raízes		Determinismo Geográfico	A escola alemã de geopolítica foi chamada de "determinista" por considerar o fator geográfico determinante no processo civilizatório.	A escola alemã foi chamada de "determinista" por considerar o fator político determinante no processo civilizatório.	true	A escola alemã foi chamada de "determinista" por considerar o fator geográfico determinante no processo civilizatório.		
Bibliografia 1 – Raízes		Escola Francesa (Possibilista)	A escola francesa, chamada de "possibilista", considerava o fator geográfico menos ponderável que o fator político.	A escola alemã, chamada de "determinista", considerava o fator geográfico menos ponderável que o fator político.	true	A escola francesa, "possibilista", considerava o fator geográfico menos ponderável que o fator político.		
Bibliografia 1 – Raízes		Autores Possibilistas	Os três principais autores da escola francesa "possibilista" são Vidal de La Blache, Brunhes e Vallaux.	Os três principais autores da escola francesa "possibilista" são Ratzel, Kjellen e Haushofer.	true	Os principais autores da escola francesa "possibilista" são Vidal de La Blache, Brunhes e Vallaux.		
Bibliografia 1 – Raízes		Mahan e o Poder Naval	O Almirante norte-americano Alfred Thayer Mahan foi o autor de "Influência do Poder Naval na História" (1890), um clássico da geopolítica do Poder Marítimo.	Halford J. Mackinder foi o autor de "Influência do Poder Naval na História" (1890).	true	O Almirante Alfred Thayer Mahan é o autor de "Influência do Poder Naval na História" (1890).		
Bibliografia 1 – Raízes		Mackinder e Ferrovias	Halford J. Mackinder foi inspirado por uma onda de construções de ferrovias na Rússia, na segunda metade do Século XIX, levando-o a desenvolver a Teoria do Heartland.	O Almirante Mahan foi inspirado pela construção de ferrovias russas, o que fortaleceu sua teoria do Poder Marítimo.	true	Halford J. Mackinder foi inspirado por uma onda de construções de ferrovias na Rússia.		
Bibliografia 1 – Raízes		Mackinder e o Heartland	Halford J. Mackinder foi o autor inglês de "Geographical Pivot of History" (1904), obra fundamental da geopolítica do Poder Continental.	Nicholas Spykman foi o autor de "Geographical Pivot of History" (1904).	true	Halford J. Mackinder foi o autor inglês de "Geographical Pivot of History" (1904).		
Bibliografia 1 – Raízes		Lema de Mahan	O lema associado à teoria do Poder Marítimo do Almirante Mahan é: "Quem dominar os mares dominará o mundo".	O lema associado à teoria do Poder Continental de Mackinder é: "Quem dominar os mares dominará o mundo".	true	O lema de Mahan, associado ao Poder Marítimo, é "quem dominar os mares dominará o mundo".		
Bibliografia 1 – Raízes		Ilha Mundial (Mackinder)	Na teoria de Mackinder, a polarização política da massa continental europeia em torno de uma "área pivô" formaria o que ele chamou de Ilha Mundial.	Na teoria de Mackinder, a área pivô é chamada de Crescente Exterior.	true	Mackinder chamou de "ilha mundial" a massa continental europeia polarizada politicamente em torno de uma "área pivô".		
Bibliografia 1 – Raízes		Submissão dos Crescentes	Segundo Mackinder, uma vez formada a "ilha mundial", as áreas adjacentes (os "Crescente Interior e Crescente Exterior") teriam que se submeter ao poder da "ilha mundial".	Segundo Mackinder, as áreas adjacentes (Crescente Interior e Crescente Exterior) serviriam como barreiras naturais contra o poder da Ilha Mundial.	true	Mackinder teorizou que os "Crescente Interior e Crescente Exterior" teriam que se submeter ao poder da "ilha mundial".		
Bibliografia 1 – Raízes		Antagonismo Mahan/Mackinder	A concepção de Poder Mundial de Mackinder, baseada em um poder continental, contrariava a teoria anterior do Almirante Mahan, baseada no domínio dos mares.	A concepção de Poder Mundial de Mackinder complementava a teoria do Almirante Mahan, reforçando o domínio marítimo.	true	A concepção de Poder Mundial de Mackinder contrariava a teoria anterior do Almirante Mahan.		
Bibliografia 1 – Raízes		Haushofer e Nazismo	O General alemão Karl von Haushofer, professor da Universidade de Munique, atingiu grande prestígio ao usar a Geopolítica para endossar o expansionismo nazista.	Nicholas Spykman foi o general alemão que usou a Geopolítica para endossar o expansionismo nazista.	true	Karl von Haushofer usou a Geopolítica para endossar o expansionismo nazista, atingindo grande prestígio na Alemanha.		
Bibliografia 1 – Raízes		Pan-Regiões (Haushofer)	Karl von Haushofer visualiza o planeta dividido em quatro grandes regiões naturais, cada uma submetida a um Estado Diretor.	Karl von Haushofer visualiza o planeta dividido em cinco grandes Pan-Regiões, cada uma dirigida por um grupo de países aliados.	true	Haushofer visualiza o planeta dividido em quatro grandes regiões naturais, cada uma submetida a um Estado-Diretor.		
Bibliografia 1 – Raízes		Endosso Científico Nazista	Hitler buscou, nos estudos acadêmicos do Instituto de Geopolítica de Munique, um endosso científico para as suas teses expansionistas, sendo o pensamento de Karl von Haushofer uma combinação de teses de Kjellen, Mackinder e Mahan.	Hitler buscou, nos estudos do Instituto Geográfico de Berlim, um endosso científico para o expansionismo, com base apenas nas teses de Ratzel.	true	O Instituto de Geopolítica de Munique, liderado por Haushofer, forneceu endosso científico para as teses expansionistas de Hitler.		
Bibliografia 1 – Raízes		Instituto de Munique	Karl von Haushofer criou o Instituto de Geopolítica de Munique na Universidade de Munique, o que empolgou Hitler e os líderes nazistas.	Karl von Haushofer criou a Escola Determinista na Universidade de Munique.	true	Haushofer criou o Instituto de Geopolítica na Universidade de Munique.		
Bibliografia 1 – Raízes		Três Teóricos (Haushofer)	O pensamento geopolítico de Haushofer é uma combinação das teses de Kjellen, Mackinder e Mahan.	O pensamento geopolítico de Haushofer é uma combinação das teses de Ratzel, Spykman e Kennan.	true	O pensamento geopolítico de Haushofer é uma combinação das teses de Kjellen, Mackinder e Mahan.		
Bibliografia 1 – Raízes		Pan-América (Haushofer)	Na visão de Haushofer, o Estado-Diretor da grande região da Pan-América seriam os Estados Unidos.	Na visão de Haushofer, o Estado-Diretor da Pan-América seria a Alemanha.	true	Haushofer designou os Estados Unidos como o Estado-Diretor da Pan-América.		
Bibliografia 1 – Raízes		Eurásia (Haushofer)	Na divisão mundial de Haushofer, o Estado-Diretor da Eurásia (Europa, Oriente Próximo e África) seria a Alemanha.	Na divisão mundial de Haushofer, o Estado-Diretor da Eurásia (Europa, Oriente Próximo e África) seria a Rússia.	true	Na divisão de Haushofer, a Alemanha seria o Estado-Diretor da Eurásia.		
Bibliografia 1 – Raízes		Pan-Rússia (Haushofer)	Na teoria das Pan-Regiões de Haushofer, o Estado-Diretor da Pan-Rússia (Rússia, Irã e Índia) seria a Rússia.	Na teoria das Pan-Regiões de Haushofer, o Estado-Diretor da Pan-Rússia seria a China.	true	Haushofer designou a Rússia como o Estado-Diretor da Pan-Rússia.		
Bibliografia 1 – Raízes		Co-Prosperidade da Ásia	Na visão geopolítica de Haushofer, o Japão lideraria a região da "Co-Prosperidade da Grande Ásia".	Na visão geopolítica de Haushofer, a China lideraria a região da "Co-Prosperidade da Grande Ásia".	true	O Japão seria o Estado-Diretor da região da "Co-Prosperidade da Grande Ásia".		
Bibliografia 1 – Raízes		Interesse EUA (1940)	Os perigos da Segunda Guerra Mundial e a fundamentação expansionista de Hitler em teses geopolíticas levaram os acadêmicos norte-americanos a se interessarem pela Geopolítica a partir da década de 1940.	O interesse dos EUA pela Geopolítica surgiu apenas após a Guerra Fria, com a desagregação da URSS.	true	Os acadêmicos norte-americanos despertaram para a Geopolítica a partir de 1940 devido aos perigos da Segunda Guerra Mundial e o uso por Hitler de teses geopolíticas.		
Bibliografia 1 – Raízes		Spykman e Equilíbrio	Nicholas Spykman contestou a ideia de que os EUA poderiam se isolar, defendendo que a segurança dependia do equilíbrio de poder, assegurado pela aliança com países amigos.	George Kennan contestou a ideia de isolamento dos EUA, defendendo a dependência de grandes barreiras naturais.	true	Nicholas Spykman defendeu que a segurança dos EUA deveria se basear no equilíbrio de poder e alianças.		
Bibliografia 1 – Raízes		Teoria da Contenção	George Kennan lançou a "Containment Theory" (Teoria da Contenção) em 1947, que dominou a diplomacia norte-americana na Guerra Fria.	Nicholas Spykman lançou a "Containment Theory" (Teoria da Contenção) em 1947.	true	George Kennan lançou a "Containment Theory" (Teoria da Contenção) em 1947.		
Bibliografia 1 – Raízes		Contenção vs. Mackinder	A Teoria da Contenção de Kennan era uma contestação direta ao conceito de Mackinder, de que quem dominasse o "heartland" dominaria o planeta.	A Teoria da Contenção de Kennan reforçava o conceito de Mackinder, priorizando o domínio do "heartland".	true	A Teoria da Contenção era uma contestação ao conceito de Mackinder sobre o domínio do "heartland".		
Bibliografia 1 – Raízes		Geopolítica da Contenção	A expressão geopolítica da Teoria da Contenção de Kennan é: "Quem dominar as regiões costeiras da grande ilha eurasiática (a 'ilha mundial') dominará o 'heartland'".	A expressão geopolítica da Teoria da Contenção de Kennan é: "Quem dominar o 'heartland' dominará as regiões costeiras da 'ilha mundial'".	true	A Teoria da Contenção afirma que quem dominar as regiões costeiras da ilha eurasiática (fringe areas) dominará o "heartland".		
Bibliografia 1 – Raízes		Fringe Areas	A estratégia de contenção dos EUA valorizou estrategicamente as chamadas "fringe areas" (faixas costeiras da "Ilha Mundial" eurasiática).	A estratégia de contenção dos EUA valorizou estrategicamente o centro do "heartland" eurasiático.	true	A estratégia de contenção valorizou estrategicamente as "fringe areas" (faixas costeiras da "Ilha Mundial" eurasiática).		
Bibliografia 1 – Raízes		Resultados da Contenção	Os engajamentos militares dos EUA nas guerras da Coréia e do Vietnã resultaram diretamente da aplicação da Teoria da Contenção.	O engajamento militar dos EUA na Segunda Guerra Mundial e na Crise dos Mísseis resultaram diretamente da aplicação da Teoria da Contenção.	true	As guerras da Coréia e do Vietnã resultaram diretamente da aplicação da Teoria da Contenção.		
Bibliografia 1 – Raízes		URSS e Mackinder	Durante a Guerra Fria, a União Soviética perfilhou a geopolítica de Mackinder, baseada no Poder Terrestre.	Durante a Guerra Fria, os Estados Unidos perfilharam a geopolítica de Mackinder, baseada no Poder Terrestre.	true	A União Soviética, como potência terrestre, perfilhou a geopolítica de Mackinder.		
Bibliografia 1 – Raízes		Doutrina Gorshkov	O Almirante Gorshkov criou uma doutrina para justificar a instalação de bases navais soviéticas globais em águas quentes, visando evitar o isolamento estratégico da Rússia devido ao domínio marítimo do Ocidente.	O Almirante Mahan criou uma doutrina para justificar a instalação de bases navais soviéticas globais para evitar o isolamento estratégico da Rússia.	true	O Almirante Gorshkov criou uma doutrina geopolítica para justificar a instalação de bases navais soviéticas globais.		
Bibliografia 1 – Raízes		Estratégia Guerra Fria	Durante a Guerra Fria, Washington se baseava no domínio dos mares e das áreas costeiras da massa continental eurasiana, enquanto Moscou buscava a conquista de toda a Eurásia.	Durante a Guerra Fria, Washington buscava a conquista de toda a Eurásia, enquanto Moscou se baseava no domínio dos mares e das áreas costeiras.	true	A estratégia de Washington era o domínio dos mares e das áreas costeiras, e a de Moscou era a conquista de toda a Eurásia.		
Bibliografia 1 – Raízes		Superpotência Pós-Guerra Fria	Após a queda do Muro de Berlim e a desagregação da União Soviética, os Estados Unidos surgiram como superpotência hegemônica.	Após a queda do Muro de Berlim, a União Europeia surgiu imediatamente como superpotência hegemônica.	true	Os Estados Unidos surgiram como superpotência hegemônica após a desagregação da União Soviética.		
Bibliografia 1 – Raízes		Contestação à Hegemonia	A China e a União Européia são as duas potências que, segundo o texto, poderiam vir a contestar a hegemonia norte-americana no futuro visível.	A Índia e o Japão são as duas potências que poderiam contestar a hegemonia norte-americana no futuro visível.	true	O texto indica que a China e a União Européia poderão contestar a hegemonia de poder norte-americano no futuro.		
Bibliografia 1 – Raízes		Estratégia Russa (Putin)	A nova estratégia anunciada pela Federação Russa sob a liderança de Putin é a criação de um centro de poder eurasiático.	A nova estratégia anunciada pela Rússia é a de abandonar o Poder Terrestre e focar-se exclusivamente no Poder Marítimo.	true	Sob a liderança de Putin, a Federação Russa anuncia a criação de um centro de poder eurasiático.		
Bibliografia 1 – Raízes		Deslocamento da Área Pivô	A nova estratégia russa de criar um centro de poder eurasiático pretende deslocar a "área pivô" para uma posição mais a leste, abrangendo maior faixa de território centro-asiático.	A nova estratégia russa pretende deslocar a "área pivô" para uma posição mais a oeste, abrangendo o Leste Europeu.	true	A nova estratégia russa pretende deslocar a "área pivô" para uma posição mais a leste, abrangendo maior faixa de território centro-asiático.		
Bibliografia 1 – Raízes		Geopolítica Globalista	Uma Geopolítica globalista vem se esboçando entre os "grandes" (G7), baseada no controle do universo por um poder central.	Uma Geopolítica bilateralista vem se esboçando entre os "grandes", baseada na divisão de influências regionais.	true	Vem-se esboçando entre os "grandes" uma Geopolítica globalista, baseada no controle do universo por um poder central.		
Bibliografia 1 – Raízes		Ingerência Globalista	O texto cita a agressão ao Estado da Iugoslávia como exemplo da ação de ingerência da geopolítica globalista dos "grandes".	O texto cita a agressão ao Estado da Coréia como exemplo da ação de ingerência da geopolítica globalista dos "grandes".	true	O caso da agressão ao Estado da Iugoslávia é citado como exemplo de ação de ingerência da geopolítica globalista.		
Bibliografia 1 – Raízes		Território (Milton Santos)	Segundo Milton Santos, “O território hoje pode ser formado de ‘lugares contíguos’ e de ‘lugares em rede’.”	Segundo Milton Santos, “O território hoje é formado apenas por ‘lugares contíguos’ devido ao avanço tecnológico.”	true	Milton Santos afirma que o território hoje pode ser formado de ‘lugares contíguos’ e de ‘lugares em rede’.		
Bibliografia 1 – Raízes		Acontecer Solidário	As três formas principais do "acontecer solidário" são Acontecer Homólogo, Complementar e Hierárquico.	As três formas principais do "acontecer solidário" são Acontecer Global, Regional e Local.	true	As três formas do "acontecer solidário" são Acontecer Homólogo, Complementar e Hierárquico.		
