| bibliografia_titulo | paginas | assunto | pergunta | alternativa_a | alternativa_b | alternativa_c | alternativa_d | resposta_correta | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | Segundo Henry Kissinger, qual é o principal problema nas relações entre Estados Unidos e China na virada do milênio? | A ideologia comunista hostil professada por Pequim, semelhante à antiga URSS. | A ambição da China de anexar a Sibéria, desestabilizando a Rússia. | **Os crescentes superávits comerciais da China, em contraste com a relativa inofensividade de sua ideologia atual.** | A capacidade militar chinesa de invadir Taiwan. | c | Kissinger afirmou que o grande problema é o crescente superávit comercial da China, e que sua ideologia não é mais essencialmente hostil como a da URSS. | | |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | Henry Kissinger criticou a política externa do governo Clinton, vista como "idealista e universalista". Ele argumentou que, na questão da proliferação nuclear, os EUA deveriam: | Continuar a impor uma política universal de não proliferação aplicável a todos os Estados. | Retomar o desarmamento psicológico e abolir as armas nucleares. | **Aprender a distinguir entre países cujas atividades não representam ameaça (ex: Índia e Paquistão) e aqueles que buscam perturbar o equilíbrio (ex: Coreia do Norte e Iraque).** | Priorizar a defesa dos direitos humanos em detrimento da análise geopolítica. | c | Kissinger criticou a política de não proliferação universal, defendendo que a análise geopolítica deve distinguir entre países que ameaçam e os que não ameaçam os interesses americanos. | | |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | Kissinger utilizou a situação da Chechênia, seis meses após a intervenção no Kosovo, para provar que: | A Rússia estava disposta a cooperar com a OTAN para resolver conflitos étnicos. | A política de sanções econômicas era totalmente ineficaz contra a Rússia. | **A política idealista das "cruzadas morais" é insustentável na prática, já que os EUA e seus aliados não puderam defender os chechenos das atrocidades russas.** | A soberania nacional deve ser sempre respeitada, mesmo em caso de genocídio. | c | Kissinger usou o exemplo da Chechênia para demonstrar que a inação dos EUA ali expôs a fragilidade e a insustentabilidade das "cruzadas morais" do governo Clinton. | | |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | Qual é a região geográfica que Zbigniew Brzezinski, em uma perspectiva mackinderiana, considera o "centro do poder mundial" e a "chave geopolítica" para a manutenção da supremacia global dos Estados Unidos? | O continente americano. | O Oriente Médio (Bálcãs Eurasianos). | O Pacífico e o Sudeste Asiático. | **A Eurásia.** | d | Brzezinski considera a Eurásia, onde se concentra grande parte da população e do PNB global, como o "centro do poder mundial" e a chave para a primazia dos EUA. | | |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | Segundo Brzezinski, os Estados Unidos são o "primeiro e único poder global" por deterem supremacia em quatro domínios decisivos. Qual dos domínios abaixo NÃO está incluído nessa lista? | O militar. | O econômico. | O tecnológico. | **O demográfico.** | d | Brzezinski lista a supremacia nos domínios militar, econômico, tecnológico e cultural. | | |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | De acordo com Brzezinski, um "ator geoestratégico" é um Estado que possui capacidade e vontade de exercer poder. Quais países ele classifica como "países importantes", mas **atores geoestratégicos praticamente nulos**? | Rússia e China. | Turquia e Irã. | Ucrânia e Coreia do Sul. | **Reino Unido e Japão.** | d | Brzezinski afirma que o Reino Unido e o Japão são "países importantes", mas não possuem a "vontade" (projetos e atuações) para modificar o *status* geopolítico e são, portanto, atores geoestratégicos nulos. | | |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | Qual é o principal objetivo da estratégia de Brzezinski para o "buraco negro" (o espaço médio da Eurásia, ex-URSS)? | Incentivar o alinhamento da Rússia com a China. | Forçar a reintegração da Ucrânia à Rússia. | **Evitar que a Rússia reconstrua seu império, sendo a manutenção da independência da Ucrânia um fator crucial.** | Promover a liderança militar da Rússia na Ásia Central. | c | A preocupação essencial dos EUA é evitar que a Rússia volte a construir um imenso e poderoso império eurasiático, e a independência da Ucrânia é vista como crucial para isso. | | |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | A estratégia de Brzezinski para a Europa visa o fortalecimento da OTAN e da unificação, com uma clara preferência pela liderança de qual Estado, em detrimento da França? | Reino Unido. | **Alemanha.** | Polônia. | Itália. | b | Brzezinski argumenta pela preferência pela liderança alemã na "conexão franco-germânica", devido à fraqueza político-militar da França e à reticência desta em expandir a OTAN para o leste. | | |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | Nos "Bálcãs Eurasianos" (Ásia Central e Oriente Médio), qual é o principal objetivo geopolítico dos Estados Unidos, dada a distância para atuar diretamente? | Liderar a intervenção militar para garantir o acesso ao petróleo. | **Impedir que qualquer poder único (Rússia, Irã, Turquia ou China) se torne hegemônico na região.** | Promover o Uzbequistão como líder militar da região. | Apoiar a Rússia para que mantenha seu controle imperial na Ásia Central. | b | A melhor estratégia é impedir a hegemonia de um único poder na região, facilitando o acesso da "comunidade global" (interesses econômicos). | | |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | Em relação ao futuro da China, qual é a previsão de Brzezinski em contraste com suas ambições globais? | A China se tornará uma potência global emulando os EUA em 10 anos. | Ela manterá um ódio intenso contra os EUA, similar ao que nutre pela Rússia e Japão. | **Ela acabará se contentando com o status de potência regional, podendo colaborar com os EUA na manutenção da estabilidade no Sudeste Asiático.** | A modernização militar consumirá seu PNB, levando ao colapso econômico. | c | Brzezinski não acredita que a China alcance o status de potência global, prevendo que ela se contentará em ser uma potência regional colaboradora com os EUA. | | |
