| bibliografia_titulo | paginas | assunto | pergunta | alternativa_a | alternativa_b | alternativa_c | alternativa_d | resposta_correta | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | Fukuyama estabelece uma distinção importante entre as esferas da evolução humana. Qual é o processo que ele atribui à **esfera social e moral**? | É um processo progressivo e direcional, que chegou ao seu fim. | **É um processo cíclico, com rupturas e reconstituições sucessivas da ordem social.** | É um processo estritamente material, determinado pelas forças produtivas. | É um processo de declínio inevitável, sem possibilidade de reconstituição. | b | A esfera social e moral é descrita como cíclica, com rupturas e reconstituições, diferentemente da esfera política/econômica, que é progressiva. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | Qual é a questão essencial de geopolítica e política internacional que, segundo o texto, está por trás da tese de Fukuyama sobre o "fim da História"? | O futuro da China como potência hegemônica global. | A possibilidade de a economia substituir completamente o poder militar. | **Se a democracia e os direitos humanos são universais e se, em seu nome, é legítimo intervir no estrangeiro.** | A persistência do problema da corrupção nos regimes pós-ditatoriais. | c | A questão central é a universalidade da democracia e dos direitos humanos, e se isso legitima uma nova estratégia de intervenção internacional. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | A respeito da universalidade da democracia ocidental, autores como Huntington e outros críticos argumentam que ela é, na realidade: | Um modelo econômico ultrapassado que não se adequa à Ásia. | Uma inevitabilidade histórica que se comprova pelo fracasso de alternativas. | **Uma estratégia das potências ocidentais para impor o seu domínio cultural sobre outros povos.** | Uma ideologia apolítica que não tem impacto nas relações internacionais. | c | Os críticos veem a universalidade da democracia ocidental como uma estratégia das potências ocidentais para impor seu domínio cultural. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | O que o historiador e filósofo indiano Raimond Panikkar busca demonstrar ao utilizar o conceito de **"homeoformia"** em seu debate sobre os direitos humanos? | Que a democracia é um valor universal e idêntico em todas as culturas. | A superioridade da noção ocidental de "direitos do homem" sobre todas as outras. | **Que pode existir uma equivalência funcional entre a noção ocidental de democracia e conceitos de outras culturas, embora não sejam idênticos.** | Que a Declaração Universal dos Direitos do Homem deve ser descartada por ser um produto ocidental. | c | A homeoformia é definida como uma equivalência funcional, ou seja, algo diferente, mas com um papel ou função em comum em outras culturas. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | Em contraposição à noção ocidental de "direitos do homem" (focada no indivíduo e cidadão), qual conceito da cultura indiana é apresentado por Panikkar como seu equivalente funcional (homeoformo)? | O *Karma* | O *Satyagraha* | **O *Dhamma* (Darma)** | O *Ahimsa* | c | O Dhamma ou Darma é o conceito homeoformo aos direitos do homem na cultura indiana. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | Na cultura indiana, o **Dhamma** tem como seu ponto de partida: | A totalidade da vontade individual. | O bem-estar econômico do cidadão. | A separação total entre Igreja e Estado. | **A totalidade do real (a ordem da realidade), e não o indivíduo ou cidadão.** | d | O ponto de partida do Dhamma não é o indivíduo, mas sim a totalidade do real, sendo os direitos das pessoas encontrar seu lugar no cosmos. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | Apesar das ressalvas e críticas à imposição do modelo, qual é a conclusão prática de Raimond Panikkar sobre a **Declaração Universal dos Direitos do Homem** (ONU, 1948)? | Deve ser totalmente rejeitada por ser um "cavalo de Troia" da dominação internacional. | **O mundo não deve renunciar a colocá-la em prática, pois sua defesa é uma necessidade para diminuir conflitos e aumentar a cooperação.** | Deve ser aplicada apenas nos Estados Unidos e na Europa, onde é culturalmente relevante. | Deve ser substituída por uma Declaração que inclua os direitos dos animais e das árvores. | b | Panikkar afirma que a defesa desses direitos é uma necessidade na arena política contemporânea para diminuir os conflitos e construir um mundo com maior cooperação. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | O avanço da globalização e a expansão de problemas comuns da humanidade (como os ambientais) geram qual consequência para o "espaço da democracia" tradicional? | O fortalecimento da autoridade do Estado nacional para resolver problemas internos. | **A diluição desse espaço, pois o poder de deliberação sobre quem deve votar (população nacional ou nações vizinhas afetadas) torna-se incerto.** | A garantia de que todos os cidadãos nacionais terão seus direitos respeitados. | A necessidade de concentrar as decisões em grandes potências militares. | b | A expansão dos problemas comuns dilui o "espaço da democracia" tradicional, pois as decisões afetam comunidades fora da jurisdição nacional. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | Para alguns estudiosos, a revisão do princípio de soberania nacional pós-Westfaliana, em nome da defesa agressiva dos direitos humanos, teria sido marcada por qual evento na década de 1990? | O acordo de paz entre Israel e a Palestina. | A Guerra do Golfo (1991). | O desmembramento da Tchecoslováquia. | **A criação de "zonas de exclusão aérea" no Iraque e a guerra do Kosovo.** | d | A criação das "zonas de exclusão aérea" no Iraque e a intervenção no Kosovo são citados como marcos da desconsideração das soberanias nacionais em prol dos direitos humanos. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | Em seu debate sobre a Guerra do Kosovo, Francis Fukuyama manifestou otimismo em relação à falência da soberania pós-Westfaliana. Qual foi a justificativa para esse otimismo? | O poderio militar dos EUA garante que a soberania será respeitada em todos os casos. | A ONU está atuando de forma imparcial e legítima em todos os continentes. | **Haveria um consenso sobre normas e princípios de governo entre os Estados mais poderosos, diferentemente do século XVII.** | A soberania nacional não tem mais relevância em um mundo globalizado. | c | Fukuyama viu a erosão da soberania de forma positiva, alegando que hoje existe um consenso entre os Estados poderosos sobre normas e princípios de governo, o que não existia no século XVII. | | |
| Novas Geopolíticas | Cap 3 | Democracia Liberal | O texto critica a ideia de que a difusão de "princípios democráticos" pelo mundo é completa, argumentando que falta, na maioria dos Estados, um elemento essencial. Qual é esse elemento? | A universalização do liberalismo econômico de livre mercado. | A total eliminação da interferência de potências estrangeiras. | A presença de um forte Estado-núcleo regional. | **Uma cultura democrática, com valores igualitários, ética pública e privada e desvalorização do corporativismo.** | d | O texto ressalta que a realização de eleições periódicas e a concorrência partidária não são suficientes, pois falta uma cultura democrática com valores igualitários e ética que separe o público do privado. | | |
