| bibliografia_titulo | paginas | assunto | pergunta | alternativa_a | alternativa_b | alternativa_c | alternativa_d | resposta_correta | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | A crítica geopolítica à ideia de "blocos de poder" (como Nafta ou Apec) reside no fato de que: | Eles são coesos apenas na esfera política, mas não na econômica. | Todos os membros possuem coesão político-diplomática maior que a União Europeia. | **Possuem uma atuação essencialmente comercial e, nos assuntos políticos e militares, não atuam conjuntamente como sujeitos (com exceção parcial da UE).** | Eles são, na verdade, um retorno total ao modelo do Tratado de Westfália. | c | Exceto pela UE, os mercados regionais como Nafta e Apec não demonstram coesão político-diplomática para atuar conjuntamente como sujeitos em assuntos militares. | | |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | O texto discute a relação entre globalização e regionalização, concluindo que: | São processos totalmente opostos, levando ao fechamento dos continentes em "fortalezas". | A regionalização é um fenômeno temporário que será superado pela totalidade globalizada. | A globalização é um equívoco sensacionalista que não se sustenta na prática. | **Existe uma globalização com regionalização que a complementa, sendo os mercados regionais a forma pela qual a interdependência econômica avança de forma desigual.** | d | A regionalização é vista como um complemento da globalização e um mecanismo de avanço da interdependência econômica, e não um fechamento alternativo. | | |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | Para Immanuel Wallerstein e a teoria do Sistema-Mundo, a chave para entender as relações de poder seria o sistema global, baseado no capitalismo. Desse modo, a geopolítica é considerada: | O ator principal que comanda as mudanças no sistema global. | O fator determinante para a ascensão e o declínio das potências hegemônicas. | **Um corolário da competição e/ou dominação econômica.** | Um conceito irrelevante, rejeitado totalmente pela Escola dos Annales. | c | O sistema-mundo é alicerçado na lógica capitalista, e a geopolítica é considerada uma consequência (corolário) da competição econômica. | | |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | A interpretação do sistema-mundo de Wallerstein implica uma geometrização do espaço mundial em Centro e Periferias. Qual conceito foi criado para designar países (como Coreia do Sul, Brasil e Índia) que pertencem à periferia, mas possuem um nível de industrialização elevado? | Pós-História | Zonas Cinzentas | **Semi-periferia** | Ator Geoestratégico | c | A "semi-periferia" é o conceito utilizado para classificar países que possuem industrialização elevada e atuam como subcentros no seu entorno. | | |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | Peter J. Taylor tentou renovar a abordagem geográfico-política utilizando a teoria do sistema-mundo, propondo três níveis de escala geográfica. Qual nível é caracterizado pela **realidade sistêmica**? | O nível Nacional (caracterizado pelo ideológico). | O nível Local-Urbano (caracterizado pela experiência). | **O nível Global.** | O nível Histórico (caracterizado pelos ciclos de hegemonia). | c | Taylor vê a escala Global como o nível da realidade sistêmica, diferenciando-o do local-urbano (experiência) e do nacional (ideológico). | | |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | Immanuel Wallerstein, por buscar a implosão do sistema e propor alternativas ao capitalismo, é identificado por alguns geógrafos como um representante da: | Geopolítica Clássica (Ratzeliana). | Geopolítica Neoliberal. | **Antigeopolítica.** | Realpolitik Culturalista. | c | Wallerstein é considerado um representante da Antigeopolítica, por desafiar o poder dos Estados e das organizações globais hegemônicas. | | |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | Kenichi Ohmae, em *The End of Nation State*, argumenta que o verdadeiro "motor" do desenvolvimento econômico na atualidade, funcionando à margem das políticas dos Estados-nações, seria o que ele denomina: | O Mercado Nacional | Os Eixos Produtivos Transcontinentais | **Os "Estados-regiões"** | A Tríade Capitalista | c | Ohmae defende que o dinamismo é impulsionado pelos "Estados-regiões" (economias regionais ricas como o norte da Itália ou Hong Kong/sul da China). | | |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | Qual dos conjuntos abaixo representa os quatro "is" (fatores mundiais, móveis e independentes dos governos nacionais) que, segundo Kenichi Ohmae, alicerçam a economia global? | Infraestrutura, Indústria, Ideologia e Impostos. | Intervenção, Integração, Identidade e Investimentos. | **Investimentos, Indústrias, Informações e Indivíduos (consumidores).** | Inovação, Ideais, Intercâmbio e Importações. | c | Os quatro "is" que sustentam a economia global, tornando o papel do Estado-nação obsoleto, são Investimentos, Indústrias, Informações e Indivíduos. | | |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | Em *Global Paradox*, John Naisbitt defende que a crescente globalização leva a um paradoxo. Qual é o principal efeito desse paradoxo sobre os atores mundiais? | A globalização inevitavelmente reforça a "economia de escala" e beneficia os grandes Estados. | **A globalização, ao contrário do que se imagina, favorece os atores menores (pequenas empresas, Estados menores) em detrimento dos grandes.** | O poder político-militar torna-se o único fator relevante para a hegemonia. | A comunicação em rede enfraquece o local em favor de um sistema unipolar. | b | Naisbitt defende que a globalização favorece os pequenos, pois o poder está mudando de vertical (hierárquico) para horizontal (redes). | | |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | John Naisbitt afirma que a antiga "economia de escala", que beneficiava os grandes atores, foi substituída por um novo modelo econômico que valoriza a velocidade, a flexibilidade e as inovações constantes. Qual é o nome desse modelo? | Economia Cartesiana | Economia de Planejamento Central | **Economia de Escopo** | Economia Territorial | c | A "economia de escopo" é o conceito usado por Naisbitt para o novo modelo, que se adapta à velocidade e à flexibilidade exigidas pelas novas tecnologias e pela globalização. | | |
