| bibliografia_titulo | paginas | assunto | pergunta | alternativa_a | alternativa_b | alternativa_c | alternativa_d | resposta_correta | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | O conceito de **desterritorialização** na nova ordem pós-moderna de Laïdi significa que: | A soberania nacional está em ascensão. | A lógica dos estoques superou a lógica dos fluxos. | **A localização perdeu a sua antiga importância, e a lógica dos fluxos superou a lógica dos stocks.** | A instabilidade geopolítica é irrelevante. | c | A nova ordem é marcada pela desterritorialização, onde a localização perdeu a importância e "a lógica dos fluxos superou a lógica dos stocks". | | |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | Laïdi aponta que o "tempo mundial" de hegemonia democrática e liberalismo é anulado por duas contradições. Qual das opções representa a primeira contradição, relativa à legitimidade? | A defasagem entre desenvolvimento e democracia. | A contradição entre federalismo e barbárie. | A oposição entre mercado e Estado. | **A diferença entre a legitimidade da democracia (o modelo ideal) e a sua efetividade na prática.** | d | A primeira contradição é a diferença entre legitimidade e efetividade, pois a democracia, embora legítima, não é efetiva na prática (ex: privatizações na ex-URSS). | | |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | Qual é a segunda contradição do "tempo mundial esclarecido" apontada por Laïdi, que levanta a hipótese de que o autoritarismo poderia ser melhor para o crescimento econômico? | A persistência dos conflitos intraestatais. | **A defasagem entre desenvolvimento e democracia.** | A ascensão de novos líderes populistas na Europa. | A falta de um Estado-núcleo na civilização islâmica. | b | A segunda contradição é a defasagem entre desenvolvimento e democracia, pois os casos empíricos não fundamentam a ideia de que o liberalismo e a democracia são sempre bons para o crescimento econômico. | | |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | Qual é a principal crítica feita às leituras que veem o real como "caos" ou "falta de sentido" (como a de Laïdi, em parte)? | Elas são excessivamente otimistas em relação à globalização. | Elas defendem abertamente o retorno a uma "ordem unívoca" perdida. | **Elas refletem uma perplexidade com a falência de modelos clássicos e sub-repticiamente buscam uma "ordem unívoca" de estabilidade.** | Elas ignoram totalmente a importância dos atores não estatais. | c | O ponto fraco dessas leituras é que elas refletem perplexidade com a falência dos modelos e buscam uma "ordem unívoca" por trás da desordem. | | |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | Qual foi a tese inicial de Alain Minc para descrever a nova ordem mundial pós-comunista em sua obra de 1993? | A hegemonia unipolar dos EUA. | O caos desregulado pelo neoliberalismo. | **O retorno a uma "Nova Idade Média", caracterizada pela ausência de sistemas organizados e o surgimento de "zonas cinzentas".** | O triunfo definitivo da democracia liberal universal. | c | Minc especulou sobre o retorno a uma "Nova Idade Média" devido à ausência de centros, a fluidez das solidariedades e o surgimento de "zonas cinzentas". | | |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | Ao contrário de muitos autores cartesianos, como Alain Minc enxergou a situação caótica da "Nova Idade Média"? | Como uma regressão irreversível à barbárie. | Como uma validação da necessidade de um governo mundial. | **Como uma oportunidade para reconstruir o mundo sob novas bases e inventar novos conceitos.** | Como o resultado direto da ideologia da comunicação. | c | Minc afirma que o caos deve ser pensado como oportunidade para inventar novos conceitos e reavaliar o papel do Estado, e não apenas como regressão. | | |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | Na visão de Alain Minc, o restante do mundo, fora dos três principais espaços globais (América, Europa e Ásia), é classificado como: | Zonas de intensa cooperação econômica. | Lugares onde o Estado-nação está se fortalecendo. | **"Zonas de transição" ou "regiões no abandono", onde há regressão (como na África subsaariana).** | Áreas de pleno controle das agências da ONU. | c | Minc afirma que o restante do mundo, fora dos três espaços centrais, fica à margem, em "zonas de transição" ou "regiões no abandono". | | |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | Alain Minc identifica o **tribalismo** como uma nova ideologia em expansão, alimentada pelo pessimismo. Qual é a síntese ideológica que o tribalismo pode representar? | Liberalismo, democracia e cosmopolitismo. | Socialismo real, keynesianismo e federalismo. | **Nacionalismo, fascismo e ecologia (culto à pureza).** | Globalização, tecnologia e livre comércio. | c | O tribalismo é visto como uma ideologia oposta à nova ordem, com ingredientes fascistas, nacionalistas e até ecológicos (culto à pureza). | | |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | Em suas obras posteriores sobre a globalização, Alain Minc refutou uma suposta "lei braudeliana" de declínio fatal do centro do sistema capitalista. Qual evento ele usou como prova de que a recuperação econômica é possível? | A queda do Muro de Berlim. | O sucesso dos Tigres Asiáticos (Hong Kong e Cingapura). | **A recuperação norte-americana nos anos 90.** | A expansão da União Europeia e a introdução do Euro. | c | Minc afirma que a recuperação norte-americana nos anos 90 desmentiu a suposta "lei braudeliana" de declínio fatal, mostrando que as economias podem se recuperar. | | |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | Minc aponta a existência de uma **"linha vermelha" na Eurásia** como um risco para a globalização triunfante. O que essa linha vermelha representa? | A expansão do poderio econômico chinês no Sudeste Asiático. | **Uma série de possíveis conflitos geopolíticos que poderiam fazer a economia ocupar um lugar secundário ante a geopolítica.** | A fronteira estável entre a União Europeia e a Rússia. | O limite de atuação da polícia financeira internacional. | b | A "linha vermelha" é uma série de possíveis conflitos geopolíticos (ex: fronteira russo-ucraniana, Bálcãs, Ásia Central) que podem secundarizar a economia. | | |
| Novas Geopolíticas | Cap 4 | Nova (Des)Ordem | Qual é o papel que Alain Minc atribui à globalização em relação ao crescimento das desigualdades e injustiças no mundo, segundo sua análise? | A globalização é a causa principal e direta de todas as desigualdades. | **A globalização é utilizada como "bode expiatório" pelos ideólogos, que evitam culpar o progresso técnico pelo não igualitarismo.** | A globalização elimina totalmente as desigualdades entre nações. | A globalização é um mito que não tem relação com as desigualdades. | b | Minc afirma que a globalização é o bode expiatório, usada para atribuir culpas que, na verdade, os ideólogos evitam direcionar ao progresso técnico. | | |
