| bibliografia_titulo | paginas | assunto | pergunta | alternativa_a | alternativa_b | alternativa_c | alternativa_d | resposta_correta | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Economia Azul | Pág 231 | Relevância do PEM para a Economia Azul | Qual autor, em 1883, expressou o equívoco de que as riquezas do mar seriam "inesgotáveis", convicção que permaneceu por várias décadas? | Alfred Mahan | Thomas Huxley | Milton Santos | Jorge Pablo Castelo | b | Thomas Huxley, em 1883, durante uma conferência na Real Sociedade Britânica, afirmou que as riquezas do mar eram inesgotáveis. |
| Economia Azul | Pág 236 | Relevância do PEM para a Economia Azul | Qual era o prazo estabelecido para que os países da União Europeia elaborassem seus Planos de Gestão Espacial Marinho? | 2030 | 2021 | 2017 | 2025 | b | Países da União Europeia se comprometeram a elaborar seus Planos de Gestão Espacial Marinho até 2021. |
| Economia Azul | Pág 237 | Relevância do PEM para a Economia Azul | Qual é o valor total estimado (em Reais, em 2021) para a implantação do PEM em toda a Amazônia Azul, de acordo com a Tabela 1? | 5 milhões | 10 milhões | 30 milhões | 50 milhões | c | O custo estimado para a implantação do PEM em toda a Amazônia Azul é de 30 milhões de Reais, conforme a Tabela 1. |
| Economia Azul | Pág 238 | Relevância do PEM para a Economia Azul | Qual órgão é responsável pela coordenação da Ação PEM no Brasil, por meio de um Comitê Executivo, no âmbito do X Plano Setorial para os Recursos do Mar (X PSRM)? | Ministério do Meio Ambiente (MMA). | Instituto Brasileiro de Geografia e Estatística (IBGE). | Marinha do Brasil, no âmbito da CIRM. | Banco Nacional de Desenvolvimento Econômico e Social (BNDES). | c | A Ação PEM é conduzida por um Comitê Executivo sob coordenação da Marinha do Brasil, no âmbito da CIRM. |
| Economia Azul | Pág 238 | Relevância do PEM para a Economia Azul | Qual fator motivou a escolha da região marinha do Sul para o Projeto Piloto do PEM no Brasil, considerando aspectos de fronteira? | A fronteira marítima com a Argentina, focada na pesca industrial. | A fronteira marítima com o Uruguai, cuja experiência será relevante para tratativas futuras com a França (Guiana Francesa). | A concentração de produção de petróleo e gás na bacia de Santos. | A ausência de instituições de pesquisa na região. | b | A fronteira marítima com o Uruguai foi um fator de escolha, pois a experiência adquirida será relevante para futuras tratativas com a França (Guiana Francesa) na região Norte. |
| Economia Azul | Pág 239 | Relevância do PEM para a Economia Azul | Qual é a atividade central da Fase 1 do Projeto Piloto do PEM na Região Sul, que culmina na publicação de 10 Cadernos Setoriais? | Elaboração da Matriz de conflitos e sinergias de usos. | Mapeamento de Usos e Atividades Humanas. | Desenvolvimento do Geoportal de Apoio à Decisão. | Elaboração do Plano de Gestão Espacial Marinho. | b | A Fase 1, com 12 meses de duração, é dedicada ao Mapeamento de Usos e Atividades Humanas. |
| Economia Azul | Pág 239 | Relevância do PEM para a Economia Azul | Qual das atividades listadas é realizada na Fase 2 do Projeto Piloto do PEM na Região Sul? | Workshops setoriais de validação dos mapas de usos. | Preparação do Plano de Gestão Espacial Marinho. | Elaboração de matrizes de conflitos e de sinergias de usos. | Mapa de restrições legais. | c | A Fase 2 inclui a elaboração de matrizes de conflitos e sinergias de usos, além de mapas de pressões. |
| Economia Azul | Pág 240 | Relevância do PEM para a Economia Azul | Qual dos seguintes é um benefício social do PEM, de acordo com a Tabela 2? | Identificação de usos compatíveis na mesma área. | Racionalização e transparência nos procedimentos de licenciamento. | Identificação e melhor proteção do patrimônio cultural. | Redução dos efeitos cumulativos das atividades humanas. | c | A identificação e melhor proteção do patrimônio cultural é listada na Tabela 2 como um benefício social do PEM. |
| Economia Azul | Pág 241 | Relevância do PEM para a Economia Azul | Os grandes empreendimentos marinhos, frequentemente amortizados em 20 a 30 anos, exigem que o Estado costeiro afiance qual elemento crucial, que é um benefício chave do PEM? | A subvenção de 100% dos custos operacionais. | A completa exclusão de setores concorrentes. | A segurança jurídica aos investidores. | A garantia de mão de obra exclusivamente nacional. | c | Para estimular grandes empreendimentos marinhos de longo prazo, o Estado costeiro precisa afiançar segurança jurídica aos investidores, o que é alcançado pelo PEM. |
| Economia Azul | Pág 243, 247 | Relevância do PEM para a Economia Azul | Qual a principal diferença entre Poder Marítimo e Poder Naval, conforme definido nas notas do texto? | O Poder Naval é mais abrangente (político e econômico), e o Poder Marítimo é mais restrito (militar). | O Poder Marítimo é mais abrangente (capacidade política, econômica e militar de usar o mar), e o Poder Naval é mais restrito (militar). | O Poder Marítimo se refere apenas à frota pesqueira, e o Poder Naval, à frota comercial. | Ambos são sinônimos e descrevem a capacidade de um país de usar o mar em tempo de guerra. | b | O Poder Marítimo é mais abrangente (capacidade política, econômica e militar), e o Poder Naval é mais restrito (poder especificamente militar). |
| Economia Azul | Pág 234 | Relevância do PEM para a Economia Azul | De acordo com VIVERO (2021), o Planejamento Espacial Marinho (PEM) deve ser compreendido como: | Exclusivamente uma ferramenta metodológica. | Um processo político, uma ferramenta e uma metodologia, dependendo de sua motivação. | Um instrumento militar para securitizar áreas do Atlântico Sul. | Apenas um ciclo de dez passos lineares e imutáveis. | b | O PEM é descrito como um processo político, uma ferramenta e uma metodologia, dependendo da utilização e motivação (político-estratégica, econômica, social e ambiental). |
| Economia Azul | Pág 233 | Relevância do PEM para a Economia Azul | Segundo a sistematização da UNESCO, qual dos seguintes é o primeiro passo para a condução do PEM? | Obter suporte financeiro. | Preparar e aprovar o Plano de Gestão Espacial Marinho. | Identificar os fins e estabelecer as autoridades responsáveis. | Definir e analisar as condições futuras. | c | O primeiro passo para a condução do PEM, segundo o manual da UNESCO, é Identificar os fins e estabelecer as autoridades responsáveis. |
| Economia Azul | Pág 233 | Relevância do PEM para a Economia Azul | Um PEM considerado eficaz deve ser "Integrado". O que esta característica implica? | Focar apenas nos setores econômicos de maior rendimento. | Ser integrado entre setores e agências, e entre os diferentes níveis de governo. | Ser restrito às águas jurisdicionais nacionais, sem cooperação transfronteiriça. | Aplicar-se exclusivamente aos ecossistemas, e não às atividades humanas. | b | A característica "Integrado" implica a integração entre setores e agências, e entre os diferentes níveis de governo. |
| Economia Azul | Pág 233 | Relevância do PEM para a Economia Azul | O resultado do 5º passo do processo de PEM (Definir e analisar as condições existentes) é nomeado como: | Matriz de Conflitos. | Plano de Gestão Espacial Marinho. | Plano de Situação. | Mapa de Cenários Futuros. | c | O passo 5 é "Definir e analisar as condições existentes", que resulta no Plano de Situação. |
| Economia Azul | Pág 234 | Relevância do PEM para a Economia Azul | Qual autor é citado para apoiar a ideia de que a ciência, tecnologia e informação assumem papel fundamental no mundo contemporâneo, inclusive no desenvolvimento das três dimensões do mar (superfície, submersa e aérea)? | Thomas Huxley. | Alfred Mahan. | Milton Santos. | VIVERO. | c | Milton Santos (1994) é citado para ressaltar o papel fundamental da ciência, tecnologia e informação no mundo contemporâneo e no desenvolvimento das dimensões do mar. |
| Economia Azul | Pág 236 | Relevância do PEM para a Economia Azul | De acordo com VIVERO (2021), uma percepção desviada sobre o PEM é que ele estaria servindo primariamente como instrumento para: | Promover a cooperação e a integração supranacional. | Reafirmar o papel do Estado, mas de forma fragmentada e com declínio da cooperação supranacional. | Reduzir o poder militar-naval dos estados costeiros. | Aumentar a incerteza jurídica para investidores. | b | VIVERO (2021) alerta que o PEM está servindo como instrumento de reafirmação do papel do Estado, mas de forma individualizada em setores, fragmentando ações e diminuindo a cooperação supranacional. |
| Economia Azul | Pág 237 | Relevância do PEM para a Economia Azul | Na divisão da Amazônia Azul em quatro áreas para a implantação do PEM, qual região marinha possui o **menor** custo estimado (R$, 2021)? | Região Norte. | Região Nordeste. | Região Sudeste. | Região Sul. | d | A Região Sul possui o menor custo estimado de implantação, com 5 milhões de Reais. |
| Economia Azul | Pág 238 | Relevância do PEM para a Economia Azul | Qual dos seguintes fatores NÃO foi explicitamente citado como motivação para a escolha da Região Sul como Projeto Piloto do PEM no Brasil? | A concentração de instituições de pesquisa com tradição em estudos marinhos. | A fronteira marítima com o Uruguai. | A área marinha correspondente a 13% de toda a Amazônia Azul (Representatividade). | O maior potencial de exploração de petróleo e gás entre as quatro regiões. | d | O maior potencial de O&G não foi citado como fator preponderante, mas sim a representatividade, relevância, disponibilidade de dados e concentração de instituições de pesquisa. |
| Economia Azul | Pág 239 | Relevância do PEM para a Economia Azul | Quantos Cadernos Setoriais serão publicados na Fase 1 do Projeto Piloto na Região Sul, abrangendo temas como Aquicultura, Defesa e Turismo? | 5 Cadernos. | 7 Cadernos. | 10 Cadernos. | 13 Cadernos. | c | A Fase 1 prevê a publicação de 10 Cadernos Setoriais. |
| Economia Azul | Pág 239 | Relevância do PEM para a Economia Azul | Qual elemento crucial é elaborado na Fase 3 do Projeto Piloto, sendo o principal produto de todo o planejamento? | O Geoportal de Apoio à Decisão. | A Matriz de Conflitos e Sinergias. | O Plano de Gestão Espacial Marinho. | O Mapa de Usos Atuais e Potenciais. | c | O Plano de Gestão Espacial Marinho é elaborado na Fase 3, a partir de oficinas de negociação intersetoriais. |
| Economia Azul | Pág 240 | Relevância do PEM para a Economia Azul | Segundo a Tabela 2, qual dos itens abaixo é um benefício ecológico/ambiental do PEM? | Maior certeza de acesso a áreas para novos investimentos. | Identificação e redução dos efeitos cumulativos das atividades humanas nos ecossistemas marinhos. | Melhores oportunidades para a participação da comunidade. | Racionalização nos procedimentos de licenciamento. | b | A Identificação e redução dos efeitos cumulativos das atividades humanas nos ecossistemas marinhos é listada como um benefício ecológico/ambiental. |
| Economia Azul | Pág 241 | Relevância do PEM para a Economia Azul | Qual é uma das principais dificuldades encontradas na elaboração do PEM no Brasil? | O excesso de recursos financeiros disponíveis. | A falta de interação entre os setores ligados ao mar e a ausência de mentalidade marítima. | A falta de compromissos internacionais assumidos pelo Brasil. | A proibição de investimentos privados em empreendimentos de longo prazo. | b | A falta de uma maior interação entre os setores e a falta de mentalidade marítima na sociedade brasileira são dificuldades citadas. |
| Economia Azul | Pág 242 | Relevância do PEM para a Economia Azul | Qual instituição é responsável por disponibilizar a Infraestrutura Nacional de Dados Espaciais (INDE), fundamental para subsidiar o PEM? | Marinha do Brasil (MB). | Comissão Oceanográfica Intergovernamental (COI). | Instituto Brasileiro de Geografia e Estatística (IBGE). | Agência Nacional do Petróleo, Gás Natural e Biocombustíveis (ANP). | c | A contribuição do IBGE tem sido fundamental ao disponibilizar a Infraestrutura Nacional de Dados Espaciais (INDE). |
| Economia Azul | Pág 243 | Relevância do PEM para a Economia Azul | De acordo com o Decreto Nº 6.666/2008, o compartilhamento e disseminação de dados geoespaciais e seus metadados na INDE é: | Obrigatório para todos os órgãos e entidades dos Poderes Executivos federal, estadual, distrital e municipal. | Voluntário para todos os órgãos do governo, incluindo o federal. | Obrigatório para todos os órgãos e entidades do Poder Executivo federal e voluntário para os demais níveis de governo. | Restrito apenas a instituições militares federais. | c | O compartilhamento é obrigatório para todos os órgãos do Poder Executivo federal e voluntário para os demais níveis (estadual, distrital e municipal). |
| Economia Azul | Pág 243 | Relevância do PEM para a Economia Azul | Em fevereiro de 2021, qual percentual da produção de petróleo no Brasil foi proveniente de campos marítimos? | 50% | 71% | 83,4% | 96,7% | d | Os campos marítimos foram responsáveis por 96,7% do petróleo produzido no País em fevereiro de 2021. |
| Economia Azul | Pág 244 | Relevância do PEM para a Economia Azul | Qual programa estratégico, junto ao PROSUB, é citado como crucial para garantir os objetivos políticos, econômicos, sociais e ambientais no mar, fortalecendo a Defesa militar-naval? | Programa de Aceleração do Crescimento (PAC). | Sistema de Gerenciamento da Amazônia Azul (SisGAAz). | Programa Nacional de Biodiversidade (PNBio). | Programa de Apoio à Exportação (PAE). | b | O SisGAAz (Sistema de Gerenciamento da Amazônia Azul) é citado junto ao PROSUB como programa estratégico para a defesa militar-naval. |
| Economia Azul | Pág 244 | Relevância do PEM para a Economia Azul | Qual é o principal objetivo da regulamentação futura do PEM no Brasil (Lei ou Decreto-lei)? | Aumentar a arrecadação de impostos sobre a pesca artesanal. | Estabelecer as "Bases da Política de Planejamento Espacial Marinho Nacional". | Garantir a exclusão de todas as empresas transnacionais. | Restringir o acesso a dados marinhos sigilosos. | b | Planeja-se a publicação de uma Lei ou Decreto-lei que estabeleça as “Bases da Política de Planejamento Espacial Marinho Nacional”. |
| Economia Azul | Pág 248 | Relevância do PEM para a Economia Azul | De acordo com as notas do texto, qual categoria de Serviços Ecossistêmicos inclui a formação do solo e a ciclagem de nutrientes? | Serviços Culturais. | Serviços de Regulação. | Serviços de Aprovisionamento. | Serviços de Apoio. | d | Os serviços ecossistêmicos de “serviços de apoio” incluem formação do solo, ciclagem de nutrientes e produção primária. |
| Economia Azul | Pág 248 | Relevância do PEM para a Economia Azul | Qual dos serviços ecossistêmicos listados abaixo pertence à categoria de "Serviços de Aprovisionamento"? | Regulação do clima. | Recreação e turismo. | Recursos genéticos. | Formação do solo. | c | Os serviços de aprovisionamento incluem alimentação, água doce, fibra, produtos bioquímicos e recursos genéticos. |
| Economia Azul | Pág 248 | Relevância do PEM para a Economia Azul | Qual conceito é definido como "o grau de conscientização da sociedade e dos decisores governamentais sobre a importância do Poder Marítimo e de seus elementos constituintes para a vida da Nação"? | Cultura Oceânica. | Poder Naval. | Oceanopolítica. | Mentalidade Marítima. | d | A Mentalidade Marítima é definida como o grau de conscientização da sociedade e dos decisores governamentais sobre a importância do Poder Marítimo. |
