| bibliografia_titulo | paginas | assunto | afirmacao_verdadeira | afirmacao_falsa | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Ciência Política | Pág 139 | Cap. 6 – As funções do Estado | A divisão horizontal de poderes (Executivo, Legislativo e Judiciário) busca garantir a colaboração e o controle recíproco, evitando a concentração de poder em um único órgão. | A divisão horizontal de poderes visa a concentrar o poder no Legislativo, eliminando o controle recíproco para garantir a eficiência estatal. | A divisão horizontal dos poderes atua para evitar a concentração de poder através da colaboração e do controle recíproco entre os órgãos. |
| Ciência Política | Pág 142 | Cap. 6 – As funções do Estado | A doutrina da divisão de poderes, idealizada por Montesquieu, tem como último objetivo a obtenção da máxima liberdade para os indivíduos, limitando o abuso de poder. | Montesquieu defendia que a divisão de poderes não visa a limitar o Estado, mas sim a otimizar a sua capacidade de intervenção na vida dos indivíduos. | A doutrina de Montesquieu busca a autolimitação do Estado no exercício do poder, tendo como objetivo a obtenção da máxima liberdade individual. |
| Ciência Política | Pág 142 | Cap. 6 – As funções do Estado | Locke, precursor imediato de Montesquieu, identificou o poder legislativo (supremo), o executivo (aplicação prática) e um terceiro poder, o federativo (relações exteriores). | Locke considerava que o Judiciário era o poder supremo, sendo o Legislativo e o Executivo poderes estritamente subordinados. | Locke identificou os poderes legislativo (supremo), executivo e federativo, sendo que os dois últimos geralmente estão nas mesmas mãos. |
| Ciência Política | Pág 143 | Cap. 6 – As funções do Estado | Para Montesquieu, quando o poder de julgar não está desvinculado dos poderes legislativo e executivo, não há liberdade, pois o juiz poderia ter a força de um opressor. | Montesquieu defendia a junção do poder de julgar ao Executivo para garantir a celeridade e a aplicação uniforme da lei. | A separação do poder de julgar do Legislativo e do Executivo é condição para a liberdade, pois evita que o juiz se torne um opressor. |
| Ciência Política | Pág 143 | Cap. 6 – As funções do Estado | Os três poderes resultantes da divisão de Montesquieu não se isolam, mas se vinculam reciprocamente através de meios de ação como a fiscalização e o veto. | Para Kant, a organização perfeita da Constituição exige o isolamento total dos poderes, de modo que um não possa intervir ou fiscalizar a atuação do outro. | Os poderes estão reciprocamente unidos, podendo intervir na atuação dos demais através de meios de fiscalização e veto. |
| Ciência Política | Pág 144 | Cap. 6 – As funções do Estado | O poder constituinte, que cria e revisa a estrutura constitucional, é interpretado como um quarto poder, sendo o Legislativo, Executivo e Judiciário os poderes constituídos. | A função de dotar a comunidade de estrutura constitucional é uma atribuição do Legislativo, e o poder constituinte não é considerado um poder distinto. | O poder constituinte é interpretado como um quarto poder, criador, distinto dos poderes constituídos (L, E, J). |
| Ciência Política | Pág 144 | Cap. 6 – As funções do Estado | A função legislativa tem um papel crucial nos Estados democráticos, constituindo um meio eficiente para realizar mudanças sociais de forma pacífica, de acordo com o direito. | Nos Estados democráticos modernos, a legislação é ineficaz para promover mudanças sociais, sendo os decretos do Executivo a única ferramenta relevante. | A função legislativa constitui um meio eficiente para realizar mudanças sociais de forma pacífica, contando com apoio da comunidade. |
| Ciência Política | Pág 144 | Cap. 6 – As funções do Estado | A fase inicial do processo legislativo pode ter origem formal (órgãos do Estado, iniciativa popular) ou informal (grupos de interesse, partidos políticos e lideranças sociais). | A iniciativa popular e a influência de partidos políticos são consideradas canais informais, mas não podem iniciar formalmente o processo legislativo. | O processo pode ser iniciado formalmente por órgãos estatais ou por iniciativa popular, ou informalmente por grupos de interesse e partidos políticos. |
| Ciência Política | Pág 145 | Cap. 6 – As funções do Estado | O Poder Executivo, com seu aparato burocrático e organização ministerial, possui uma ampla base institucional para reunir informações e preparar projetos de lei. | O Executivo não possui estrutura para recolher informações, sendo esta função exclusiva das comissões parlamentares e grupos de interesse. | O Executivo conta com uma ampla base burocrática e ministerial para reunir informações e dados que contribuam para projetos de lei. |
| Ciência Política | Pág 145 | Cap. 6 – As funções do Estado | A fase de formulação de alternativas é o momento de concentração de forças em apoio a diferentes projetos, buscando dotar a vontade particular de expressão normativa. | A fase de formulação de alternativas é caracterizada pela completa neutralidade das forças políticas, pois o debate é estritamente técnico e legal. | Esta fase é o momento de concentração de forças, que buscam dotar sua vontade particular de expressão normativa, polarizando posições. |
| Ciência Política | Pág 146 | Cap. 6 – As funções do Estado | Após a votação do Parlamento, o Executivo pode vetar o projeto de lei (parcial ou total), o que obriga a sua revisão pelo Parlamento. | O Executivo só pode se manifestar sobre a lei através da aprovação; o veto total ou parcial é uma atribuição exclusiva do Judiciário. | O Executivo pode manifestar-se através da aprovação (promulgação) ou através de veto parcial ou total, que obriga o retorno ao Parlamento. |
| Ciência Política | Pág 146 | Cap. 6 – As funções do Estado | A lei, como produto do sistema político, se reintegra nele após a publicação, e sua eficácia pode gerar apoio específico ao governo ou incrementar a demanda insatisfeita. | O processo político se encerra totalmente com a publicação da lei, não havendo mais vínculo com o sistema político ou com a eficácia de conduta. | A lei, como produto do sistema político, se reintegra nele, e sua eficácia se manifesta como apoio ou incremento da demanda. |
| Ciência Política | Pág 151 | Cap. 6 – As funções do Estado | A função executiva não é mera aplicação mecânica de regras gerais, pois é uma atividade permanente que contém em si uma atividade social e uma margem de livre iniciativa. | A função executiva deve ser vista como a aplicação mecânica e literal das regras gerais, sem qualquer margem de livre iniciativa ou atividade social. | A função executiva não é mera execução mecânica de regras, pois é uma atividade permanente com campo de livre iniciativa e atividade social. |
| Ciência Política | Pág 151 | Cap. 6 – As funções do Estado | A administração exerce uma função mediadora entre o político e o social, mas pode ser desvirtuada se interferir na função de governo, ascendendo ao nível de controle. | A função principal da administração é interferir na função de governo, ascendendo ao nível de controle, sendo este o seu papel principal no Estado. | A administração exerce função mediadora, mas corre o risco de desvirtuamento se interferir na função de governo e ascender ao controle. |
| Ciência Política | Pág 151 | Cap. 6 – As funções do Estado | Weber sustentava que, em um Estado moderno, a burocracia realmente governa, pois o poder é exercido através da rotina da administração pelos funcionários civis. | Weber defendia que a burocracia é politicamente neutra, sendo o poder de governo exercido estritamente pelo chefe do Executivo e não pelos funcionários civis. | Segundo Weber, a burocracia, através da rotina da administração, necessária e inevitavelmente governa o Estado moderno. |
| Ciência Política | Pág 151 | Cap. 6 – As funções do Estado | A preponderância do Executivo (Hauriou) se deve ao fato de ser o único poder empreendedor, que possui a síntese da concepção, da decisão e da execução, necessária para matérias urgentes. | A preponderância do Executivo se deve unicamente à sua submissão ao Legislativo e à ausência de autonomia em relação à concepção e decisão. | O Executivo é preponderante por ser o poder empreendedor que possui a síntese da concepção, da decisão e da execução para matérias novas e urgentes. |
| Ciência Política | Pág 152 | Cap. 6 – As funções do Estado | O Executivo se tornou supremo (Lassale) devido a fatores técnicos (intervencionismo e tecnicidade das decisões) e sociológicos (personalização do poder na democracia de massas). | A supremacia do Executivo deve-se apenas à sua maior subordinação ao Judiciário, sendo as razões sociológicas e técnicas irrelevantes. | A supremacia do Executivo é explicada por fatores técnicos (intervencionismo) e sociológicos (personalização do poder no chefe do Executivo). |
| Ciência Política | Pág 152 | Cap. 6 – As funções do Estado | A função jurídica consiste em pronunciar o direito em casos concretos, mas também preenche as lacunas da legislação através da criação de direito jurídico novo (jurisprudência). | O Poder Judiciário tem a missão de aplicar as normas existentes, mas lhe é vedado preencher as lacunas da legislação, pois a jurisprudência não é fonte de direito. | A função jurídica pronuncia o direito nos casos concretos e cria direito novo (jurisprudência) para cobrir as brechas da legislação. |
| Ciência Política | Pág 152 | Cap. 6 – As funções do Estado | O direito criado pelo Judiciário para preencher lacunas da legislação está limitado a casos concretos e não possui o atributo de generalidade de uma lei. | O direito criado pelo Judiciário tem o atributo de generalidade, sendo aplicável a todos os cidadãos em todos os casos futuros, como se fosse uma lei. | A resolução jurídica não possui o atributo de generalidade, sendo direito apenas entre as partes, em casos concretos. |
| Ciência Política | Pág 154 | Cap. 6 – As funções do Estado | Montesquieu identificou a **paz** como a Primeira Lei natural, antes do estabelecimento das sociedades, motivada pela fraqueza e medo mútuo dos homens. | Montesquieu, seguindo Hobbes, identificou o desejo de **guerra e dominação** como a Primeira Lei natural do homem, antes da sociedade. | A Primeira Lei natural é a paz, pois os homens em estado natural sentiriam sua fraqueza e grande medo, evitando o ataque. |
| Ciência Política | Pág 154 | Cap. 6 – As funções do Estado | Montesquieu defendia a existência de **poderes intermediários** (nobres, clero) entre o rei e o povo como necessários para evitar o abuso do poder soberano. | Montesquieu defendia a eliminação de todos os poderes intermediários para garantir a plena soberania do rei, sem oposição ao seu poder. | Montesquieu contribuiu com a teoria dos poderes intermediários, que são necessários para evitar o abuso do poder soberano. |
